gen_vendor_normalized,total_entries,total_contracts,total_amendments
TECHNOLOGY INTEGRATION GROUP,7,7,0
MICROSOFT CANADA,3,2,1
HEWLETT PACKARD,3,3,0
CDW CANADA,3,3,0
ST CROIX INTERNATIONAL WATERWAY COMMISSION,3,3,0
HYPERACTIVE PRODUCTIONS,3,3,0
ESRI,3,3,0
C GIAMBERARDINO CONTRACTING,2,2,0
TCI TRANSLATORS CONFERENCE INTERPRETERS,2,2,0
TRADUCTIONS HOULE,2,2,0
NISHA TECHONOLOGIES,2,2,0
OFFICEMAX GRAND TOY,2,2,0
CISTEL TECHNOLOGY,2,2,0
INTERSOL GROUP,2,2,0
ANTHONY MACAULEY ASSOCIATES,2,2,0
COLDFRONT LABS,2,2,0
PIERRE DE DEUS,2,2,0
LIMNO TECH,2,2,0
LURA CONSULTING,2,2,0
DYNAMIX PROFESSIONAL VIDEO SYSTEM,1,1,0
ECO STRATEGY,1,1,0
ELAINE BARROW,1,1,0
ENVIRONMENTAL CONSULTING AND TECHNOLOGY ECT,1,1,0
GENESIS INTEGRATION,1,1,0
H2ADAPT,1,1,0
IMAGE ADVANTAGE SOLUTIONS,1,1,0
KIM GEOMATICS,1,1,0
KNOWLEDGEWORKS ENTERPRISE CONTENT MANAGEMENT SOLUTIONS CANADA,1,1,0
LAKE OF THE WOODS WATER SUSTAINABLE FOUNDATION,1,1,0
MATTHEW KRAFT,1,1,0
MAWANDONAN CONSULTING,1,1,0
MODERN NIAGARA OTTAWA,1,1,0
NOLAN BARATONO,1,1,0
NORTHWEST HYDRAULIC CONSULTANTS,1,1,0
ORACLE CANADA,1,1,0
ORACLEPOLL RESEARCH,1,1,0
ORLEANS CARPET,1,1,0
RHALLIDAY ASSOCIATES,1,1,0
ROBERT HARRISON,1,1,0
ST LAWRENCE RIVER INSTITURE,1,1,0
ST LAWRENCE RIVER INSTITUTE,1,1,0
STRATOS,1,1,0
TERRA REPRODUCTIONS,1,1,0
THE COMPUTER MEDIA GROUP,1,1,0
WAYNE DYBVIG,1,1,0
WTVS DETROIT PUBLIC TELEVISION,1,1,0
9080236 CANADA,1,1,0
YVONNE KLINTBORN,1,1,0
AASSOCIATES PRINTING AND DESIGN,1,1,0
AECOM,1,1,0
AFFINITY PRODUCTIONS,1,1,0
ALLISON VOGLESONG,1,1,0
ATKINSON SCHROETER DESIGN GROUP,1,1,0
BC2 GROUPE CONSEIL,1,1,0
BELL CANADA,1,1,0
BEV CLARK,1,1,0
BLUMETRIC ENVIRONMENTAL,1,1,0
BUROVISION OTTAWA,1,1,0
CABLING OTTAWA TELECOM SECURITY,1,1,0
CLA PERSONNEL,1,1,0
CONSERVATION ONTARIO,1,1,0
CORPORATION DE LECOLE POLYTECHNIQUE DE MONTREAL,1,1,0
COSTCO WHOLESALE CANADA,1,1,0
DANIEL HENSTRA,1,1,0
DAVID RUCK,1,1,0
DECISIVE TECHNOLOGIES,1,1,0
