owner_acronym,total_entries,total_contracts,total_amendments
rcmp,97,95,2
esdc,85,79,6
dnd,77,62,15
ssc,69,40,29
gac,61,58,3
stats,54,53,1
ircc,49,46,3
cra,48,33,15
ps,46,42,4
tbs,46,31,15
hc,41,35,6
cfia,39,36,3
ic,37,31,6
nrc,37,35,2
dfo,35,29,6
nrcan,35,34,1
pspc,32,30,2
phac,31,25,6
ec,31,22,9
fin,29,18,11
csc,25,23,2
pc,25,19,6
tc,23,20,3
cbsa,20,17,3
pco,20,18,2
agr,17,16,1
just,17,16,1
acoa,14,11,3
fcac,13,11,2
cnsc,13,10,3
cihr,12,11,1
atssc,12,11,1
vac,11,10,1
ced,11,10,1
csa,11,10,1
elections,11,5,6
lac,10,10,0
cer,10,8,2
inac,9,9,0
osfi,9,6,3
pch,8,5,3
nserc,8,8,0
oag,8,7,1
csps,7,7,0
fintrac,6,6,0
cta,6,3,3
infra,6,5,1
pptc,6,6,0
psc,6,6,0
mgerc,5,5,0
oic,5,4,1
chrc,5,5,0
wd,4,3,1
tsb,4,4,0
ocol,4,3,1
crtc,4,4,0
ijc,3,2,1
nfb,3,2,1
fja,3,3,0
cgc,3,3,0
irb,2,1,1
wage,2,2,0
osgg,1,1,0
ocl,1,1,0
sirc,1,1,0
cas,1,1,0
opc,1,1,0
